request,PS_g,PS_r,PS_i,PS_z,PS_y,p,pe
4454017257893306496,16.42130089,16.60519981,16.81539917,17.03210068,17.16290092,12.56353815,0.066592305
4454109681291473536,18.36380005,18.16970062,18.13129997,18.16309929,18.23270035,11.82787624,0.227821621
4454328930782860800,18.31069946,18.12509918,18.11420059,18.12400055,18.19199944,11.13695255,0.168531967
4454334020319210624,19.924101,19.1784,18.8563,18.726801,18.682301,10.52603211,0.313234447
4454432667131057792,18.02659988,17.87689972,17.88319969,17.94350052,17.97730064,13.90090586,0.144755199
4455205894384768256,19.02190018,18.74729919,18.6541996,18.67200089,18.71710014,12.46512957,0.235298293
44556579141068544,17.408001,17.287201,17.2994,17.3643,17.4198,16.91545328,0.116809784
4455760769799431040,19.274599,18.974899,18.8748,18.8969,18.9107,10.7631514,0.311751182
4456018914514270592,18.5329,18.409201,18.4083,18.464399,18.5317,11.85423853,0.217573308
4457170451083163392,15.1201,15.4697,15.8053,16.0427,16.190599,11.59380824,0.058168443
4457542837630035968,0,0,0,0,0,10.34700392,0.763322189
445819288954989824,19.7882,19.2857,19.054899,18.9974,18.8011,11.6595387,0.343832146
4458207634145130368,15.12979984,15.16819954,15.25290012,15.37730026,15.47350025,44.8485349,0.048639693
4458251064854338176,17.1481,16.899401,16.839899,16.8547,16.8867,22.54701905,0.104168141
4458454611944673408,17.82559967,17.81130028,17.8932991,17.99559975,18.09589958,12.89502284,0.116923081
4458886273338645888,19.3622,18.623301,18.3365,18.2206,18.1917,18.1484977,0.243222542
4459666716138776576,19.3981,19.02,18.8888,18.8927,18.8529,13.2108729,0.259250585
4459687645513849984,0,0,0,0,0,11.30716135,0.532484131
4460086458999242368,14.53139973,14.83329964,15.11190033,15.3611002,15.51980019,17.9485202,0.044333336
4460327252045435648,16.2317009,16.38669968,16.56040001,16.74959946,16.87610054,12.90847571,0.062281304
4461228611063376128,17.025,16.837,16.795,16.821,16.85,21.91293969,0.069747187
4461401745486070144,0,0,0,0,0,11.81927487,0.550909572
4461433528244756480,19.6089,19.176901,19.011499,18.9744,18.9263,10.41900962,0.304878271
4461739604794187520,18.42259979,18.24600029,18.21899986,18.27449989,18.32760048,13.21103537,0.189030477
4461972907417918336,19.065901,18.65,18.4809,18.4359,18.475901,13.74003386,0.242085787
446199342020477184,0,0,0,0,0,11.84162484,0.372558924
446203228969067392,17.999001,17.997299,18.0889,18.2064,18.240101,10.20705847,0.172891351
4462612140287443840,15.781,15.663,15.651,15.673,15.75,31.47613736,0.10941826
446263083632852608,16.898899,16.875099,16.959,17.0686,17.138901,14.34167913,0.091431118
4462895505049732608,0,0,0,0,0,15.45188113,0.054088303
4463261431966304768,19.361401,18.902,18.725401,18.636499,18.636999,13.21113885,0.363280697
4463278336956814208,18.21349907,18.12400055,18.15990067,18.24710083,18.27840042,13.1172794,0.147156082
4463651999111841024,19.378099,18.660999,18.363001,18.24,18.1796,19.27839008,0.236363693
4463664815294536192,18.58600044,18.41020012,18.36420059,18.40329933,18.44199944,10.58157659,0.201892808
4463681655863346816,17.449,17.276,17.229,17.255,17.281,17.66177172,0.087786391
446381964030017152,19.673201,19.178699,18.977699,18.883301,18.883699,11.90570465,0.346196125
4464010508621809664,19.6499,19.077499,18.826799,18.703199,18.485901,13.35580884,0.318479821
4464073180784561408,19.35820007,19.03300095,18.91650009,18.94039917,18.93639946,10.37767709,0.245016047
