request,su,sg,sr,si,sz,PS_g,PS_r,PS_i,PS_z,PS_y
Gaia DR2 1095169656358227456,19.471,18.906,18.715,18.697,18.784,18.877701,18.7094,18.721001,18.784201,18.8475
Gaia DR2 1095351526750484864,18.858,18.394,18.211,18.197,18.196,18.3706,18.216999,18.2062,18.239799,18.285101
Gaia DR2 1095872381727479936,18.023,17.684,17.649,17.72,17.832,17.677799,17.6355,17.711901,17.8531,17.910801
Gaia DR2 1096117955074105088,19.79804,18.74552,18.24314,18.03906,18.00874,18.65909958,18.23419952,18.05879974,18.00149918,17.9965992
Gaia DR2 1097100089538914816,0,0,0,0,0,17.8895,17.4366,17.2507,17.1924,17.163601
Gaia DR2 1097175444739973248,0,0,0,0,0,19.8349,19.2451,19.003201,18.903099,18.875099
Gaia DR2 1099254857452068864,0,0,0,0,0,19.687401,19.086901,18.8279,18.785,18.7493
Gaia DR2 1099325161772414208,0,0,0,0,0,15.5223999,15.81159973,16.10239983,16.34910011,16.50449944
Gaia DR2 1099671469279607168,0,0,0,0,0,18.320999,18.129,18.107901,18.134399,18.1658
Gaia DR2 1100089318058003328,0,0,0,0,0,17.674299,17.502399,17.438601,17.4783,17.490601
Gaia DR2 1100267237077449728,0,0,0,0,0,16.597,16.274,16.147,16.139,16.132
Gaia DR2 1100331141895920640,0,0,0,0,0,17.4624,17.496901,17.591499,17.728901,17.817301
Gaia DR2 1100655330324351616,0,0,0,0,0,16.845,16.485,16.349,16.332,16.316
Gaia DR2 1101763324511186304,18.619,18.142,18.043,18.073,18.125,18.1429,18.0329,18.053101,18.1355,18.1353
